City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,hajin,34.6927,40.827,313.82,9,0,8.26,SY,1718296046
153,bukama,-9.2,25.85,300.56,34,0,1.67,CD,1718296046
154,badger,64.8,-147.5333,286.47,83,75,4.63,US,1718296047
155,labasa,-16.4167,179.3833,296.72,94,38,1.11,FJ,1718296047
156,truth or consequences,33.1284,-107.2528,307.28,13,0,2.57,US,1718296048
157,puerto natales,-51.7236,-72.4875,280.4,65,75,14.4,CL,1718296049
158,manokwari,-0.8667,134.0833,299.29,84,99,3.88,ID,1718295970
159,nuuk,64.1835,-51.7216,279.49,61,20,4.63,GL,1718296050
160,carrigaline,51.8117,-8.3986,291.01,63,75,6.17,IE,1718296051
161,punta arenas,-53.15,-70.9167,278.21,81,40,15.43,CL,1718296052
162,newquay,50.4132,-5.0819,287.39,100,75,9.26,GB,1718296052
163,lorengau,-2.0226,147.2712,299.41,83,99,0.41,PG,1718296053
164,longyearbyen,78.2186,15.6401,277.06,70,40,8.75,SJ,1718295926
165,hamilton,39.1834,-84.5333,302.59,46,0,3.09,US,1718295871
166,pahlgam,34.0333,75.3333,283.34,74,91,3.64,IN,1718296055
167,port elizabeth,-33.918,25.5701,288.88,89,0,1.54,ZA,1718296056
168,avarua,-21.2078,-159.775,295.18,83,20,2.06,CK,1718296057
169,nova sintra,14.8667,-24.7167,295.95,83,100,10.13,CV,1718296057
170,buka,40.8108,69.1986,297.56,23,45,4.39,UZ,1718296058
171,brookings,44.3114,-96.7984,294.88,88,20,0.0,US,1718296059
172,castillos,-34.1667,-53.8333,295.14,68,100,5.83,UY,1718296060
173,gakem,6.7658,8.9881,304.23,64,99,2.16,NG,1718296060
174,kavieng,-2.5744,150.7967,300.73,75,94,2.15,PG,1718296061
175,kruisfontein,-34.0033,24.7314,286.97,79,4,1.8,ZA,1718296062
176,flying fish cove,-10.4217,105.6791,298.97,88,75,3.09,CX,1718296062
177,fada,9.5667,8.3,303.51,51,56,2.04,NG,1718296063
178,howard springs,-12.497,131.047,293.1,95,84,0.98,AU,1718296063
179,pitimbu,-7.4706,-34.8086,303.48,76,100,6.08,BR,1718296064
180,luderitz,-26.6481,15.1594,291.58,60,0,2.37,NA,1718296065
181,island harbour,50.724,-1.2758,287.71,83,100,1.79,GB,1718296065
182,hithadhoo,-0.6,73.0833,301.97,69,24,2.38,MV,1718296066
183,cabedelo,-6.9811,-34.8339,303.52,76,100,6.31,BR,1718296067
184,kapuskasing,49.4169,-82.4331,291.2,82,100,2.06,CA,1718296068
185,nuku'alofa,-21.1333,-175.2,298.34,94,75,3.09,TO,1718296068
186,kiunga,-6.1219,141.2906,295.97,99,96,1.04,PG,1718296069
187,lerwick,60.1545,-1.1494,284.15,71,88,4.93,GB,1718296070
188,kyzyl-mazhalyk,51.1333,90.6,293.66,54,100,6.71,RU,1718296071
189,pimentel,-6.8367,-79.9342,295.31,68,0,2.06,PE,1718296071
190,burang,30.25,81.1667,280.79,41,0,3.08,CN,1718296072
191,holualoa,19.6228,-155.9522,295.06,94,20,3.6,US,1718296073
192,labrador city,52.9463,-66.9114,297.14,39,75,7.2,CA,1718296074
193,sinop,41.7711,34.8709,295.39,68,6,2.03,TR,1718296074
194,san julian,21.0167,-102.1667,297.85,35,97,3.22,MX,1718296076
195,road town,18.4167,-64.6167,304.17,74,75,3.6,VG,1718295907
196,bardai,11.65,7.2333,309.77,24,38,3.46,NG,1718296077
197,kone,-21.0595,164.8658,293.5,57,77,3.48,NC,1718296078
198,naantali,60.4674,22.0243,288.89,58,20,5.66,FI,1718296079
199,enewetak,11.3474,162.3373,301.23,80,100,9.42,MH,1718296079
200,norrtalje,59.758,18.705,287.5,63,100,3.57,SE,1718296080
201,kerikeri,-35.2268,173.9474,289.21,95,100,4.47,NZ,1718296080
202,tevriz,57.509,72.4042,293.07,95,77,1.8,RU,1718296081
203,general acha,-37.377,-64.6043,292.4,60,100,5.02,AR,1718296082
204,antsohihy,-14.8796,47.9875,296.38,79,18,1.91,MG,1718296082
205,bamboo flat,11.7,92.7167,301.2,89,40,3.6,IN,1718296083
206,vitebsk,55.1905,30.2033,293.51,40,0,3.0,BY,1718296084
207,jamestown,42.097,-79.2353,300.92,53,40,4.63,US,1718295817
208,ciudad lazaro cardenas,17.9583,-102.2,303.39,57,100,1.46,MX,1718296086
209,georgetown,5.4112,100.3354,304.12,70,20,3.09,MY,1718295804
210,vilyuysk,63.7553,121.6247,290.37,51,61,1.34,RU,1718296087
211,st. john's,47.5649,-52.7093,292.75,76,20,10.8,CA,1718296088
212,guerrero negro,27.9769,-114.0611,293.28,68,35,7.61,MX,1718296089
213,dashiqiao,40.6373,122.5025,293.21,95,100,3.86,CN,1718296089
214,bowen,-20.0167,148.2333,288.02,75,0,2.55,AU,1718296090
215,urangan,-25.3,152.9,286.04,77,4,1.79,AU,1718296091
216,fort bragg,35.139,-79.006,304.51,50,0,3.09,US,1718296091
217,pisco,-13.7,-76.2167,291.18,82,100,1.54,PE,1718296092
218,kirensk,57.7853,108.1119,290.35,69,32,2.24,RU,1718296093
219,buncrana,55.1333,-7.45,288.02,97,100,5.97,IE,1718296094
220,boende,-0.2167,20.8667,304.28,49,92,0.66,CD,1718296094
221,inarajan village,13.2736,144.7484,300.23,93,77,6.66,GU,1718296095
222,hillsborough,37.5741,-122.3794,293.26,82,20,4.47,US,1718295896
223,vernon,50.2581,-119.2691,291.44,44,2,0.51,CA,1718296096
224,kilimatinde,-5.85,34.95,295.37,43,4,1.02,TZ,1718296097
225,walvis bay,-22.9575,14.5053,301.68,21,0,4.12,NA,1718296097
226,forster,-32.1667,152.5167,286.09,78,100,4.46,AU,1718296098
227,tebessa,35.4042,8.1242,300.75,30,75,4.63,DZ,1718296099
228,laojunmiao,39.8333,97.7333,294.63,29,100,1.13,CN,1718296100
229,hami,42.8,93.45,303.85,18,13,3.08,CN,1718296100
230,pandan,14.0453,124.1694,300.11,87,13,1.27,PH,1718296101
231,egilsstadir,65.2653,-14.3948,285.1,54,20,7.72,IS,1718296102
232,duba,27.3513,35.6901,305.76,50,0,4.45,SA,1718296102
233,salalah,17.0151,54.0924,303.2,84,75,5.14,OM,1718296103
234,westport,41.1415,-73.3579,302.63,55,0,4.12,US,1718295976
235,le grazie di ancona,43.6008,13.5153,294.26,70,75,3.6,IT,1718296104
236,la passe,45.5549,-0.8967,295.28,60,100,3.94,FR,1718296105
237,weiser,44.251,-116.9693,296.36,34,0,0.89,US,1718296106
238,axim,4.8699,-2.2405,300.73,74,54,5.35,GH,1718296107
239,thurgoona,-36.0451,146.9919,278.6,100,99,0.45,AU,1718296107
240,acarau,-2.8856,-40.12,303.17,63,14,6.72,BR,1718296108
241,mount isa,-20.7333,139.5,288.02,44,0,2.06,AU,1718296110
242,moose jaw,50.4001,-105.5344,288.3,67,100,8.75,CA,1718296110
243,mundri,-6.9558,111.71,298.3,86,45,0.82,ID,1718296111
244,la gi,10.6667,107.7833,302.4,73,64,3.28,VN,1718296111
245,new norfolk,-42.7826,147.0587,280.33,89,100,0.55,AU,1718296112
246,sitka,57.0531,-135.33,283.09,81,40,2.06,US,1718296113
247,mount pearl,47.5166,-52.7813,292.29,75,20,10.8,CA,1718296115
248,ibiza,38.9088,1.433,298.27,72,20,4.63,ES,1718296116
249,quesnel,52.9999,-122.5029,285.43,50,0,2.57,CA,1718296116
250,klaksvik,62.2266,-6.589,284.66,80,92,9.03,FO,1718296117
251,broken hill,-31.95,141.4333,285.31,57,100,2.81,AU,1718295851
252,amparafaravola,-17.5833,48.2167,291.15,75,33,1.61,MG,1718296118
253,tura,25.5198,90.2201,298.47,93,96,3.62,IN,1718296119
254,bedford,52.1346,-0.4663,289.15,82,75,7.72,GB,1718296120
255,tabou,4.423,-7.3528,299.92,81,56,5.19,CI,1718296121
256,ambovombe,-25.1667,46.0833,293.89,89,8,5.02,MG,1718296121
257,luau,-10.7073,22.2247,296.88,32,3,2.06,AO,1718296122
258,parauapebas,-6.0675,-49.9022,305.14,51,40,4.63,BR,1718296123
259,khark,29.2614,50.3306,306.49,53,0,4.47,IR,1718296124
260,kyabram,-36.3167,145.05,279.75,72,88,2.42,AU,1718296124
261,queenstown,-31.8976,26.8753,284.33,40,0,1.02,ZA,1718296125
262,fairhope,30.523,-87.9033,305.52,53,0,2.57,US,1718296126
263,hermanus,-34.4187,19.2345,286.93,80,17,0.98,ZA,1718296126
264,asheboro,35.7079,-79.8136,302.6,58,40,0.45,US,1718295845
265,dudinka,69.4058,86.1778,283.53,86,100,4.47,RU,1718296127
266,khulm,36.6974,67.6983,307.78,15,0,4.15,AF,1718296128
267,kingston,17.997,-76.7936,305.68,66,20,8.75,JM,1718296118
268,sao miguel do araguaia,-13.275,-50.1628,306.67,21,0,4.68,BR,1718296129
269,bikenibeu village,1.3673,173.1241,301.13,83,0,2.06,KI,1718296130
270,dalandzadgad,43.5708,104.425,292.08,24,21,3.89,MN,1718296131
271,tadine,-21.55,167.8833,293.85,69,0,6.4,NC,1718296132
272,al bawiti,28.3492,28.8659,313.46,8,0,6.08,EG,1718296132
273,tumpat,6.1978,102.171,302.14,79,20,1.03,MY,1718296133
274,coquimbo,-29.9533,-71.3436,287.0,100,75,1.54,CL,1718296090
275,talnakh,69.4865,88.3972,283.26,78,82,3.89,RU,1718296134
276,rabo de peixe,37.8,-25.5833,294.88,83,20,5.14,PT,1718296046
277,salekhard,66.53,66.6019,291.7,63,94,4.02,RU,1718295850
278,vorgashor,67.5833,63.95,280.82,100,100,0.48,RU,1718296137
279,miranda,3.2499,-76.2281,300.22,71,75,1.82,CO,1718296137
280,okondja,-0.6549,13.6753,304.56,48,53,0.02,GA,1718296138
281,muroto-misakicho,33.2833,134.15,295.31,85,56,2.13,JP,1718296139
282,coruripe,-10.1256,-36.1756,299.73,79,65,4.71,BR,1718296057
283,west bay,19.3667,-81.4167,299.19,100,75,3.09,KY,1718296141
284,rongelap,11.1635,166.8941,301.06,80,100,9.4,MH,1718296141
285,amfissa,38.525,22.3731,308.42,21,76,2.86,GR,1718296142
286,happy valley-goose bay,53.3168,-60.3315,296.32,56,75,3.09,CA,1718296143
287,saldanha,-33.0117,17.9442,290.18,82,4,4.3,ZA,1718296143
288,akureyri,65.6835,-18.0878,292.11,37,0,2.57,IS,1718296144
